species,photo,rock#,rock.circumference
rand,P1210724,3,0.5
rand,P1210719,3,3.5
rand,P1210714,3,0.5
rand,P1210708,3,4.5
rand,P1210700,3,4
rand,P1210695,3,4.5
rand,P1210690,3,2.5
rand,P1210685,3,0.5
rand,P1210680,3,4
rand,P1210675,3,2.5
rand,P1210670,3,4
rand,P1210665,3,5.5
sagu,0716-NST,3,NA
sagu,0715-NST,3,1
sagu,0714-NST,3,NA
sagu,0713-NST,3,NA
sagu,0712-NST,3,NA
sagu,0711-NST,3,NA
sagu,0709-NST,3,NA
sagu,0708-NST,3,NA
sagu,0707-NST,3,3
sagu,0705-NST,3,NA
sagu,0703-NST,3,3.5
sagu,0704-NST,3,NA
sagu,0702-NST,3,NA
sagu,0701-NST,3,NA
sagu,0710-NST,3,NA
ltdu,0701-NST,3,NA
ltdu,0713-NST,3,NA
ltdu,0708-NST,3,NA
ltdu,0707-NST,3,NA
ltdu,0702-NST,3,4.5
coei,07127-NST,3,6.5
coei,0774-NST,3,8.5
coei,0769-NST,3,1.5
coei,0768-NST,3,NA
coei,0763-NST,3,2.5
coei,07103-NST,3,8
coei,0713-NST,3,3.5
coei,07126-NST,3,NA
coei,07125-NST,3,1
coei,07124-NST,3,1
coei,07120-NST,3,5.5
coei,07119-NST,3,5.5
coei,0745-NST,3,4.5
coei,0750-NST,3,8.5
coei,0749-NST,3,3.5
coei,0738-NST,3,7
coei,0737-NST,3,1
coei,0735-NST,3,1.5
coei,0729-NST,3,NA
coei,0718-NST,3,NA
coei,005-NST,3,NA
coei,115-NST,3,1
arte,07279-NST,3,3.5
arte,07278-NST,3,NA
arte,07277-NST,3,NA
arte,07191-NST,3,5
arte,0758-NST,3,3.5
arte,0752-NST,3,5
arte,07276-NST,3,NA
arte,07275-NST,3,0.5
arte,07258-NST,3,NA
arte,07257-NST,3,1.5
arte,07243-NST,3,1
arte,07242-NST,3,NA
arte,07226-NST,3,NA
arte,07224-NST,3,2
arte,07222-NST,3,NA
arte,07219-NST,3,NA
arte,07273-NST,3,NA
arte,07272-NST,3,NA
arte,07271-NST,3,2.5
arte,07210-NST,3,NA
arte,07183-NST,3,NA
arte,07182-NST,3,NA
arte,07180-NST,3,4
arte,07178-NST,3,0.5
arte,07171-NST,3,NA
arte,07158-NST,3,NA
arte,07156-NST,3,1.5
arte,07154-NST,3,NA
arte,07152-NST,3,NA
arte,07148-NST,3,2
arte,07133-NST,3,NA
arte,07131-NST,3,4.5
arte,07129-NST,3,2
arte,0757-NST,3,3
arte,0755-NST,3,NA
arte,0718-NST,3,NA
arte,0712-NST,3,NA
arte,0709-NST,3,NA
arte,07261-NST,3,NA
arte,07201-NST,3,NA
arte,07161-NST,3,1
arte,07159-NST,3,NA
arte,07157-NST,3,0.5
arte,07144-NST,3,NA
arte,07139-NST,3,NA
arte,0730-NST,3,NA
pusa,pusa0701,3,3.5
ltdu,ltdu0712,3,5.5
coei,coei07999,3,2.5
coei,coei07998,3,2.5
coei,coei07997,3,6
coei,coei0794,3,2
coei,coei0790,3,3
coei,coei0702,3,2
arte,arte07998,3,5
arte,arte07997,3,NA
coei,6476,4,1.7
sagu,6460,4,1.5
sagu,6462,4,NA
sagu,6463,4,0.9
sagu,6464,4,NA
sagu,6469,4,NA
arte,6432,4,NA
arte,6435,4,NA
arte,6436,4,NA
arte,6437,4,NA
arte,6438,4,0.4
arte,6439,4,NA
arte,6440,4,NA
arte,6441,4,NA
arte,6442,4,NA
arte,6449,4,1.6
arte,6452,4,NA
arte,6453,4,0.8
arte,6454,4,NA
arte,6458,4,0.8
arte,6459,4,1
arte,6461,4,NA
arte,6465,4,2.3
arte,6467,4,0.4
arte,6468,4,0.8
arte,6477,4,0.7
coei,6433,4,NA
coei,6434,4,0.4
coei,6448,4,NA
coei,6450,4,NA
coei,6466,4,NA
coei,6494,4,0.8
coei,6495,4,0.7
coei,6496,4,0.7
coei,6497,4,0.6
coei,6499,4,NA
coei,6500,4,NA
coei,6501,4,1
coei,6503,4,1.9
coei,6504,4,0.5
rand,1126,4,5.5
rand,1121,4,0.5
rand,1116,4,3
rand,1111,4,NA
rand,1106,4,1
rand,1101,4,2
rand,1096,4,3
rand,1091,4,1
rand,1086,4,6
rand,1081,4,2.5
rand,1076,4,2.5
rand,1071,4,5.5
rand,1066,4,2.5
rand,1061,4,NA
rand,1056,4,0.5
rand,1050,4,6.5
rand,1045,4,2.5
rand,1040,4,5
rand,1035,4,8
rand,1030,4,6
rand,1025,4,2
rand,1020,4,4
rand,1015,4,NA
rand,1010,4,NA
rand,1004,4,2.5
rand,46-NST,4,1
rand,45-NST,4,2.5
rand,44-NST,4,5
rand,43-NST,4,NA
rand,42-NST,4,1
rand,41-NST,4,2
rand,40-NST,4,5
rand,39-NST,4,2.5
rand,38-NST,4,4.5
rand,37-NST,4,3.5
rand,36-NST,4,2
rand,35-NST,4,3
rand,34-NST,4,2
rand,33-NST,4,1.5
rand,32-NST,4,4.5
rand,31-NST,4,1
rand,30-NST,4,3.5
rand,29-NST,4,1.5
rand,28-NST,4,5.5
rand,27-NST,4,2
rand,26-NST,4,2.5
rand,20-NST,4,6.5
rand,19-NST,4,NA
rand,18-NST,4,NA
rand,17-NST,4,NA
rand,16-NST,4,3.5
rand,15-NST,4,NA
rand,14-NST,4,2.5
rand,13-NST,4,4
rand,12-NST,4,NA
rand,11-NST,4,2.5
rand,10-NST,4,1
rand,9-NST,4,2
rand,8-NST,4,NA
rand,7-NST,4,1
rand,6-NST,4,2.5
rand,5-NST,4,2
rand,4-NST,4,3
rand,3-NST,4,2.5
rand,2-NST,4,2
rand,1-NST,4,1.5
rand,P1210832,4,NA
rand,P1210827,4,NA
rand,P1210821,4,1.5
rand,P1210816,4,NA
rand,P1210811,4,NA
rand,P1210806,4,NA
rand,P1210801,4,NA
rand,P1210796,4,NA
rand,P1210790,4,4.5
rand,P1210785,4,5
rand,P1210773,4,2.5
rand,P1210763,4,2.5
rand,P1210758,4,4
rand,P1210753,4,NA
rand,P1210748,4,2.5
rand,P1210743,4,NA
rand,P1210735,4,1.5
rand,P1210729,4,NA
rand,P1210724,4,1
rand,P1210719,4,3
rand,P1210714,4,2
rand,P1210708,4,3
rand,P1210700,4,2
rand,P1210695,4,2
