species,photo,%rock,%veg,%mud/dirt,%other,1,2,3,4,5,6,7,8,9,10
arte,07191-NST,15,85,0,0,5.5,4,5,2,1,4,1,2.5,2.5,3
arte,0758-NST,15,85,0,0,0.5,4,3.5,1.5,10,2.5,2,3,4.5,0.5
arte,0752-NST,5,95,0,0,1.5,0.5,5,2,2,1,2,4,2.5,3
arte,07276-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
arte,07275-NST,5,95,0,0,2.5,0.5,0.5,0.5,3,4,2,1.5,3,1.5
arte,07258-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07257-NST,5,95,0,0,0.5,3,1.5,1,0.5,0.5,1,2,1,2.5
arte,07243-NST,10,90,0,0,7,3,1,5,2,0.5,1,0.5,1,4
arte,07242-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07226-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07224-NST,5,95,0,0,2,2,2,2.5,1,1,1.5,2,2,2
arte,07222-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07219-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07273-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07272-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07271-NST,2,98,0,0,1,4,2.5,1,1,3.5,1,0.5,2.5,2
arte,07210-NST,0,100,0,0,0,0,0,0,0,0,,0,0,0
arte,07183-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
arte,07182-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07180-NST,10,90,0,0,2,3,4,1,0.5,4,2,3.5,4,5
arte,07178-NST,2,98,0,0,3.5,3.5,0.5,0.5,1,1.5,5,2,2,3
arte,07171-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07158-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07156-NST,5,95,0,0,2,4,1.5,1,2,2,0.5,0.5,1,3
arte,07154-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07152-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07148-NST,5,95,0,0,4,5,2,2.5,3.5,4,4.5,5,1,0.5
arte,07133-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07131-NST,10,90,0,0,6,7.5,4.5,5,6,2.5,7,8.5,6,5
arte,07129-NST,5,95,0,0,0.5,1,2,5,0.5,4,6.5,2.5,3.5,4
arte,0757-NST,15,85,0,0,5,5,3,7,2.5,3.5,1.5,2,2,4.5
arte,0755-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,0718-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,0712-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
arte,0709-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07261-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07201-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07161-NST,10,90,0,0,0.5,0.5,1,1.5,1,1,2,2.5,0.5,1
arte,07159-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07157-NST,5,95,0,0,0.5,0.5,0.5,0.5,0.5,4,1,0.5,0.5,0.5
arte,07144-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07139-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,0730-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
pusa,pusa0701,10,90,0,0,1.5,2,3.5,2,2,1,1.5,1,0.5,3
ltdu,ltdu0712,2,98,0,0,0.5,2.5,5.5,2.5,2,0.5,1,1,3,1
coei,coei07999,5,95,0,0,3,2,2.5,0.5,3.5,4,5.5,2.5,2.5,3
coei,coei07998,20,80,0,0,4.5,1,2.5,5,5,3.5,2.5,8,1.5,2.5
coei,coei07997,75,25,0,0,9,2,6,5.5,7,1,4,5,4.5,2
coei,coei0794,15,85,0,0,3,2,2,1,3.5,1.5,1.5,1,4.5,0.5
coei,coei0790,20,80,0,0,2.5,2,3,5,5.5,6,1.5,1,3.5,0.5
coei,coei0702,10,90,0,0,3,5,2,4,1,1.5,2.5,2,0.5,1
arte,arte07998,5,95,0,0,2.5,3.5,5,2,1,6,4,2,3.5,0.5
arte,arte07997,2,98,0,0,0,0,0,0,0,0,0,0,0,0
